MLS,Street,City,Bedrooms,Bathrooms,SqFt,List Price,Price/SqFt,County,Zone,Source,Date,URL
1068695, 2301 Callender, Arroyo Grande,4,3,2312,679899,294.0739619, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068695
1067727, 697 Avocet, Arroyo Grande,4,3,3167,898900,283.8332807, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067727
1071836, 475 Via Las Aguilas, Arroyo Grande,3,3,2325,964950,415.0322581, SLO,2,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071836
1071780, 9144 Arbol Del Rosal, Atascadero,2,3,1468,339000,230.9264305, SLO,3,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071780
1064623, 8500 Graves Creek, Atascadero,4,4,3104,789000,254.1881443, SLO,3,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1064623
1070493, 5667 Gato, Goleta,3,2,1494,769000,514.7255689, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070493
1071090, 508 Crosby, Lompoc,3,2,1662,384900,231.5884477, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071090
1071837, 1567 8th, Los Osos,2,1,890,439500,493.8202247, SLO,1,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071837
1071727, 637 Grande, Nipomo,3,2,1600,569000,355.625, SLO,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071727
1071679, 4310 Jardine, Paso Robles,3,2,1208,389900,322.7649007, SLO,4,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071679
1070150, 1480 Penman Springs, Paso Robles,2,2,1344,499000,371.2797619, SLO,4,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070150
1054017, 3520 Creston, Paso Robles,11,11,7732,1975000,255.431971, SLO,4,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1054017
1069768, 3121 Calle Noguera, Santa Barbara,2,1,980,999900,1020.306122, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069768
1071109, 205 Newlove, Santa Maria,2,1,1190,199999,168.0663866, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071109
1065892, 1126 Foster, Santa Maria,3,3,1800,299000,166.1111111, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1065892
1070168, 4541 Coachman, Santa Maria,4,3,2632,527000,200.2279635, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070168
1061272, 2893 Stadium, Solvang,3,3,2096,619000,295.3244275, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1061272
1070432, 975 Fredensborg Canyon, Solvang,4,3,3211,1150000,358.1438804, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070432
1071052, 1230 Quail Ridge, Solvang,4,3,3661,1695000,462.9882546, SB,0,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071052
1071860, 59 8th, Templeton,3,3,1475,398000,269.8305085, SLO,3,1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071860
