ListingID,S,SubType,St#,StName,City,MLSArea,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,AcLSqft,DOM/CDOM,ViewYN,PoolPrivateYN,BAC,Contract Status Change Date,MLS
PR1058603,A,SFR/D,11450,Viejo Camino   ,ATSC,ATSC,,"$350,000 ",$253.26 ,"3/2,0,0,0",1382/A,1987,"2/87,120",464/464,Y,,2.5,8/22/15,CCR
PI1068914,A,CONDO/A,9107,Arbol Del Rosal WY   #180,ATSC,ATSC,,"$381,999 ",$220.43 ,"3/2,0,1,0",1733/A,2007,"0.08/3,485",137/137,N,,3,7/14/16,CCR
PI1072172,A,SFR/D,5760,Olmeda AV  ,ATSC,ATSC,,"$385,000 ",$263.70 ,"3/2,0,1,0",1460/A,2004,"0.0335/1,459",41/41,Y,,2.5,10/18/16,CCR
SP1071845,A,SFR/D,5710,Olmeda AV  ,ATSC,ATSC,,"$407,500 ",$309.65 ,"3/1,0,0,0",1316/A,1935,"0.7782/33,898",43/43,Y,,3,10/5/16,CCR
SP1073153,A,CONDO/A,9361,Riberena CR   #15,ATSC,ATSC,,"$419,900 ",$210.06 ,"3/3,0,0,0",1999/S,2016,"0.0459/1,999",3-Mar,Y,,3*,11/25/16,CCR
SP1072051,A,SFR/D,7605,Castano AV  ,ATSC,ATSC,,"$424,900 ",$313.35 ,"3/2,0,0,0",1356/A,1985,"0.2479/10,799",46/46,Y,,3,10/13/16,CCR
SC1072816,A,SFR/A,8595,El Centro RD  ,ATSC,ATSC,,"$428,500 ",$326.60 ,"3/2,0,0,0",1312/A,2003,"0.15/6,534",17/17,N,,2.5,11/11/16,CCR
SP1070467,A,SFR/D,4405,Rosita AV  ,ATSC,ATSC,,"$429,900 ",$277.00 ,"3/2,0,0,0",1552/A,1978,"0.3558/15,499",97/97,Y,,2.5,8/23/16,CCR
SC1067422,A,SFR/D,4495,Lobos AV  ,ATSC,ATSC,,"$435,000 ",$260.17 ,"3/2,1,0,0",1672/A,1974,"0.179/7,797",177/177,Y,,2.500*,5/29/16,CCR
PR1072039,A,SFR/D,3425,La Luz RD  ,ATSC,ATSC,,"$435,000 ",$263.64 ,"3/1,1,0,0",1650/A,1984,"1.0178/44,335",46/46,Y,,2.5,10/13/16,CCR
SP1066159,A,SFR/D,1198,Galeria CT  ,ATSC,ATSC,,"$459,000 ",$220.78 ,"4/2,1,1,0",2079/S,0,"0.1118/4,869",164/164,Y,,3*,5/6/16,CCR
PI1066404,A,COMRES/D,8565,El Camino Real   ,ATSC,ATSC,,"$480,000 ",$192.00 ,"2/1,0,1,0",2500/SEE,0,"0.198/8,625",211/211,Y,,2,5/1/16,CCR
PR1069365,A,SFR/D,4760,El Verano AV  ,ATSC,ATSC,,"$499,000 ",$198.41 ,"3/3,0,0,0",2515/A,1973,"0.5051/22,002",125/125,Y,,2.5,7/22/16,CCR
PR1070660,A,SFR/D,7400,Portola RD  ,ATSC,ATSC,,"$500,000 ",$258.26 ,"3/1,0,1,0",1936/SEE,1918,"2.16/94,090",91/91,Y,,2.5,8/29/16,CCR
PR1069435,A,SFR/D,2305,Rio Rita RD  ,ATSC,ATSC,,"$510,000 ",$299.65 ,"3/2,0,0,0",1702/A,2002,"2.5/108,900",127/127,Y,,2.5,7/24/16,CCR
PI1070917,A,SFR/D,8925,Azucena AV  ,ATSC,ATSC,,"$534,000 ",$288.03 ,"3/2,0,1,0",1854/A,1989,"0.5/21,780",65/65,Y,,2,9/6/16,CCR
PR1069659,A,SFR/D,7205,San Gabriel   ,ATSC,ATSC,,"$550,000 ",$305.39 ,"3/1,1,1,0",1801/A,1951,"1.53/66,647",97/97,Y,,2.5,9/12/16,CCR
SP1071440,A,SFR/D,9575,Lake View   ,ATSC,ATSC,,"$569,000 ",$293.90 ,"3/2,0,0,0",1936/A,1979,"0.87/37,897",67/67,Y,,2.5,9/22/16,CCR
PI1073107,A,SFR/D,13800,Santa Lucia   ,ATSC,ATSC,,"$569,000 ",$343.60 ,"3/2,0,0,0",1656/S,1988,"2.8435/123,863",6-Jun,Y,,2.5,11/22/16,CCR
SP1071896,A,SFR/D,9156,Santa Barbara RD  ,ATSC,ATSC,,"$582,000 ",$290.42 ,"3/2,0,0,0",2004/A,1984,"2.5/108,900",53/53,Y,,2,10/6/16,CCR
SP1068402,A,SFR/D,11255,Eliano ST  ,ATSC,ATSC,,"$624,000 ",$281.84 ,"4/2,0,1,0",2214/SEE,2015,"0.189/8,233",156/156,Y,,2.5,6/25/16,CCR
PI1072824,A,SFR/D,3331,Via Del Sueno   ,ATSC,ATSC,,"$669,900 ",$310.14 ,"3/2,0,0,0",2160/A,2003,"0.5789/25,217",18/18,Y,Y,2.5,11/10/16,CCR
SP1071028,A,SFR/D,8705,Azucena AV  ,ATSC,ATSC,,"$676,000 ",$208.32 ,"4/3,0,0,0",3245/A,1989,"0.5815/25,330",80/80,Y,,2,9/9/16,CCR
PR1068851,A,SFR/D,12712,San Felipe CT   #29,ATSC,ATSC,,"$679,000 ",$289.18 ,"4/2,1,0,0",2348/S,0,"1.67/72,745",143/143,Y,,2.5,7/8/16,CCR
PI1071944,A,SFR/A,12275,Alondra RD  ,ATSC,ATSC,,"$748,000 ",$230.01 ,"3/3,0,0,0",3252/A,1966,"2.8/121,968",49/49,Y,,2.5,10/10/16,CCR
PR1068039,A,SFR/D,9950,Enchanto RD  ,ATSC,ATSC,,"$750,000 ",$289.35 ,"3/1,1,1,0",2592/A,2003,"5.07/220,849",167/167,Y,,2.5,6/14/16,CCR
PR1072424,A,SFR/D,9735,Laurel RD  ,ATSC,ATSC,,"$759,900 ",$261.85 ,"4/2,0,1,0",2902/A,1988,"2.92/127,195",33/33,Y,,2.5,10/26/16,CCR
SP1071632,A,SFR/D,7500,San Gregorio RD  ,ATSC,ATSC,,"$799,000 ",$368.20 ,"4/2,0,1,0",2170/S,1978,"3.4/148,104",61/61,Y,,3.5,9/28/16,CCR
PR1068020,A,SFR/D,6450,San Gabriel RD  ,ATSC,ATSC,,"$839,000 ",$288.51 ,"4/2,0,1,0",2908/A,2002,"4.27/186,001",167/167,Y,,2.5,6/14/16,CCR
SC1072231,A,SFR/D,9900,Carmelita AV  ,ATSC,ATSC,,"$849,000 ",$376.83 ,"3/3,0,0,0",2253/S,1980,"1.39/60,548",39/39,Y,Y,2.5,10/20/16,CCR
SC1066345,A,SFR/A,7450,Santa Cruz RD  ,ATSC,ATSC,,"$849,500 ",$160.92 ,"4/2,0,2,1",5279/A,1987,"3.25/141,570",172/333,Y,,2.5,4/27/16,CCR
PI1070785,A,SFR/D,6455,San Gabriel RD  ,ATSC,ATSC,,"$850,000 ",$299.72 ,"4/3,0,0,0",2836/A,2001,"3.77/164,221",80/80,Y,,2.5,9/9/16,CCR
PR1070983,A,SFR/D,9123,Santa Margarita RD  ,ATSC,ATSC,,"$850,000 ",$312.96 ,"3/2,1,1,0",2716/SEE,1991,"2.4/104,544",80/80,Y,Y,2.5,9/9/16,CCR
AT1062328,A,SFR/D,7586,Balboa RD  ,ATSC,ATSC,"SPAY,FOR","$875,000 ",$159.79 ,"5/5,0,1,0",5476/A,1983,"4/174,240",317/317,Y,,2.5,1/13/16,CCR
PR1063712,A,SFR/D,11505,Santa Ana RD  ,ATSC,ATSC,,"$899,000 ",$299.67 ,"4/3,0,1,0",3000/AP,1989,"4.22/183,823",280/280,Y,,2.5,2/22/16,CCR
PR1071086,A,SFR/D,7655,Bella Vista RD  ,ATSC,ATSC,,"$900,000 ",$290.60 ,"4/2,2,1,0",3097/A,2003,"2.27/98,881",77/77,Y,,2.5,9/12/16,CCR
