ListingID,S,SubType,St#,StreetName,City,MLSArea,SLC,Price,PricePerSquareFoot,BrBa,Sqft,YrBuilt,AcLSqft,DOMCDOM,ViewYN,PoolPrivateYN,BAC,ContractStatusChangeDate,MLS
PR1059714,A,SFR/A,1225,Fire Rock LP  ,TTON,TTON,,"$1,449,000 ",$312.82 ,"4/3,0,1,0",4632/S,2015,"1.86/81,022",424/424,Y,,2.5,9/25/15,CCR
PR1070477,A,SFR/D,3330,Ridge RD  ,TTON,TTON,,"$1,629,000 ",$479.12 ,"4/2,1,0,0",3400/S,2005,"20/871,200",91/91,Y,,2.5,8/23/16,CCR
PR1067946,A,SFR/D,900,Venice RD  ,TTON,TTON,,"$1,900,000 ",$313.53 ,"6/5,0,0,0",6060/A,2010,"10/435,600",162/162,Y,,1.5,6/13/16,CCR
PR1052008,A,SFR/D,6685,El Pomar DR  ,TTON,TTON,,"$2,250,000 ",$319.15 ,"5/7,0,0,0",7050/A,1981,"83.5/3,637,260",641/641,Y,Y,2.5,2/20/15,CCR
PR1063615,A,SFR/D,3898,High Grove RD  ,TTON,TTON,,"$2,350,000 ",$504.51 ,"6/4,0,1,0",4658/A,1984,"12.65/551,034",278/278,Y,,2.5,2/18/16,CCR
PR1065547,A,SFR/D,5330,Dana LN  ,TTON,TTON,,"$2,999,000 ",$946.95 ,"4/2,0,2,0",3167/A,1989,"218.85/9,533,106",229/229,Y,Y,2.5,4/5/16,CCR
SC1054977,A,SFR/D,1351,Deerfield RD  ,TTON,TTON,,"$3,499,000 ",$507.69 ,"4/6,0,0,0",6892/A,1988,"64.62/2,814,847",561/561,Y,,2.5,5/11/15,CCR
PI1068305,U,SFR/A,827,Willow LN  ,ARRG,ARRG,,"$475,000 ",$297.62 ,"4/2,0,0,0",1596/SEE,0,"0.1663/7,242",153/153,Y,,2.5,10/12/16,CCR
PI1071974,U,SFR/A,225,Walnut ST  ,ARRG,ARRG,,"$569,000 ",$376.32 ,"3/2,0,0,0",1512/A,1949,"0.1736/7,562",33/33,Y,,2.5,11/18/16,CCR
PI1067077,U,SFR/D,1183,Stonecrest DR  ,ARRG,ARRG,,"$599,000 ",$229.94 ,"3/2,0,1,0",2605/A,2004,"0.1567/6,826",187/187,Y,,2.25,10/31/16,CCR
PI1070939,U,SFR/D,280,Tally Ho RD  ,ARRG,ARRG,,"$649,900 ",$475.07 ,"3/2,0,0,0",1368/A,1938,"0.2786/12,136",76/76,Y,,2.5,11/12/16,CCR
PI1071417,U,SFR/A,1020,Cougar Creek WY  ,ARRG,ARRG,,"$899,000 ",$460.32 ,"3/1,2,0,0",1953/SEE,1979,"2.5/108,900",62/62,Y,,2.5,10/14/16,CCR
PI1057678,U,SFR/A,836,Los Ciervos   ,ARRG,ARRG,,"$1,150,000 ",$321.14 ,"4/3,0,1,0",3581/A,2003,"0.5106/22,242",483/483,Y,,2.5,8/1/16,CCR
